order	ERR2213660	ERR2213661	ERR2213662	ERR2213663	ERR2213664	ERR2213665	ERR2213666	ERR2213667	ERR2213668	ERR2213669	ERR2213670	ERR2213671	ERR2213672	ERR2213673	ERR2213674	ERR2213675	ERR2213676	ERR2213677	ERR2213678	ERR2213679	ERR2213680	ERR2213681	ERR2213682	ERR2213683	ERR2213684	ERR2213685	ERR2213686	ERR2213687	ERR2213688	ERR2213689	ERR2213690	ERR2213691	ERR2213692	ERR2213693	ERR2213694	ERR2213695	ERR2213696	ERR2213697	ERR2213698	ERR2213699	ERR2213700	ERR2213701	ERR2213702	ERR2213703	ERR2213704	ERR2213705	ERR2213706	ERR2213707	ERR2213708	ERR2213709	ERR2213710	ERR2213711	ERR2213712	ERR2213713	ERR2213714	ERR2213715	ERR2213716	ERR2213717	ERR2213718	ERR2213719	ERR2213720	ERR2213721	ERR2213722	ERR2213723	ERR2213724	ERR2213725	ERR2213726	ERR2213727	ERR2213728	ERR2213729	ERR2213730	ERR2213731	ERR2213732	ERR2213733	ERR2213734	ERR2213735	ERR2213736	ERR2213737	ERR2213738	ERR2213739	ERR2213740	ERR2213741	ERR2213742	ERR2213743	ERR2235210	ERR2235211	ERR2235212	ERR2235213	ERR2235214	ERR2235215	ERR2235216	ERR2235217	ERR2235218	ERR2235219	ERR2235220	ERR2235221	ERR2235222	ERR2235223	ERR2235224	ERR2235225	ERR2235226	ERR2235227	ERR2235228	ERR2235229	ERR2235230	ERR2235231	ERR2235232	ERR2235233	ERR2235234	ERR2235235	ERR2235236	ERR2235237	ERR2235238	ERR2235239	ERR2235240	ERR2235241	ERR2235242	ERR2235243	ERR2235244	ERR2235245	ERR2235246	ERR2235247	ERR2235248	ERR2235249	ERR2235250	ERR2235251	ERR2235252	ERR2235253	ERR2235254	ERR2235255	ERR2235256	ERR2235257	ERR2235258	ERR2235259	ERR2235260	ERR2235261	ERR2235262	ERR2235263	ERR2235264	ERR2235265	ERR2235266	ERR2235267	ERR2235268	ERR2235269	ERR2235270	ERR2235271	ERR2235272	ERR2235273	ERR2235274	ERR2235275	ERR2235276	ERR2235277	ERR2235278	ERR2235279	ERR2235280	ERR2235281	ERR2235282	ERR2235283	ERR2235284	ERR2235285	ERR2235286	ERR2235287	ERR2235288	ERR2235289	ERR2235290	ERR2235291	ERR2235292	ERR2235293	ERR2235294	ERR2235295	ERR2235296	ERR2235297	ERR2235298	ERR2235299	ERR2235300	ERR2235301	ERR2235302	ERR2235303	ERR2235304	ERR2235305	ERR2235306	ERR2235307	ERR2235308	ERR2235309	ERR2235310	ERR2235311	ERR2235312	ERR2235313	ERR2235314	ERR2235315	ERR2235316	ERR2235317	ERR2235318	ERR2235319	ERR2235320	ERR2235321	ERR2235322	ERR2235323	ERR2235324	ERR2235325	ERR2235326	ERR2235327	ERR2235328	ERR2235329	ERR2235330	ERR2235331	ERR2235332	ERR2235333	ERR2235334	ERR2235335	ERR2235336	ERR2235337	ERR2235338	ERR2235339	ERR2235340	ERR2235341	ERR2235342	ERR2235343	ERR2235344
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.06261	0.39767	0.19978	22.54177	3.16507	3.01357	0.08212	0.41315	0.25381	20.59225	0.67704	2.50185	0.20051	0.93262	2.63456	1.44386	2.22219	1.85774	2.9787	0.0071	1.41101	0.43253	0.00708	0.13895	0.02591	0.10027	0.84567	0.05692	9.63717	3.88272	0.99326	0.16989	0.01495	0	0	0.00569	0.00701	0.33813	0.12413	9.64081	3.7431	0.10805	4.16309	6.28973	13.08912	6.15343	8.82315	0.11658	0.22808	0.01414	0.08524	3.36691	2.01172	1.72108	0	0	0.02735	0.00573	0.3503	8.93078	0.0486	18.48304	0.01122	0	0.53834	29.25113	17.2913	0.05878	0.01981	0.07154	0.4007	0.32283	0.13229	0.79811	0.59323	0.32153	2.6222	0.11222	0.24695	0.02181	0.15718	2.3066	0.14914	0.22499	1.88699	4.58575	0.12092	0.04624	0.14083	0	10.80265	0.11829	0.51053	0.05858	2.72319	14.1902	0.57889	0.11772	4.35674	0.40763	0.08666	0.33855	0.22104	0.1866	4.82303	0.09425	3.74213	0.42535	0.66093	0.5898	0.08098	0.18694	18.23753	1.07522	0.14267	0.47389	0.23593	0.02987	5.52845	0.02591	0	0	0	0	0.05228	1.72812	2.44391	6.86319	0.39586	0.01273	0.22079	0.06918	0.0625	0.02056	0.21636	0.01524	0	0.09232	0.57452	0.04082	0.66271	0.10543	0.67683	0.25054	0.13858	0.10103	0.42797	0.07407	7.16708	0.53067	0.27862	0.07016	2.50232	0.0437	3.10087	1.33561	0.00755	0	0.3741	0.6856	1.06046	0.27496	12.10847	0.59362	0.18699	0.04136	0.41138	2.19908	0.04679	0	0.01466	2.15949	0.66218	0.42743	0.00711	0.00519	5.26529	4.83522	0.07147	0.07236	3.0088	2.037	4.19235	6.35119	19.59849	44.1293	37.14161	27.00546	1.16236	79.69156	3.64614	0.47049	41.97759	0.41245	0.77828	3.48267	0.4397	0	15.5854	0.68775	0.06707	0	3.69195	0	0.68559	0.20115	0.11854	0.11831	7.88411	1.2018	0.11371	0.74241	2.74974	1.69369	0.01031	0.02116	0	0.05647	0.6049
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.66083	0.70346	0.31252	0	0.19331	0	0.08029	0.28528	0.07544	0.00568	0.00096	0.85531	0.03611	0	0	0.22065	0	0.1466	0.00082	0	0	0	0	0.02521	0.24963	0	0	0	0.30399	0.03361	0.00192	0	0	0	0	0	0	0	0	0	0.12364	0	0	0	0	0	0	0.10534	0	0	0.00208	0.79496	0	0.02032	0	0.007	0.528	0.03562	0.10112	0.00611	0.27119	0	0	0	0	0	0.06326	0.00069	0.20678	0.27011	0.02726	0.0184	0.03288	0	0	0.16344	0.01621	0	0	0.005	0.06636	0	0	0	0.86445	0	0.21867	0	0	0	0	3.45606	0.20438	0	0.01274	0	0.02386	0.05352	0.21096	0	0	0.02329	0.05653	1.0664	0	0	0.00419	0	0	0	0	0.02055	0.1343	0.09926	0	0	0.10952	0	0	0	0.06781	0	0.0027	0.01433	0.07865	0	0	0	0	0.06286	0.09959	0.06224	0	0.0764	0	0	0	0	0	0	0.00954	0.05084	0.00496	0	0.02142	0	0	0	0.42662	0.01547	0	0.03556	0	0.44266	0	0	0	1.04197	0.00388	0.30064	0.19756	0.01233	0.05184	0.09921	0.04524	0	0.11045	0.00846	0	0.86333	0.00722	0	0.00111	0.00603	0	0	0	0.098	0	0	0.24433	0.15513	0.11701	0	0	0	0.00209	0	0	0	0.0453	0.01631	0	0	0.04785	0.01453	0	0	0.00084	0.01737	0.02252	0.1283	4.66307	0	0.3449	0	0	0	1.56912	0	0	0.05854	0	0.00591	0.13298	1.50372	0.00176	0.28458	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00885	0	0	0	0	0	0	0.00753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0	0	0	0	0	0	0	0	0	0	0	0	0.00774	0	0	0	0.27574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0.02795	0	0	0	0.01709	0	0	0	0.6393	0.84947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12125	4.8695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26339	0.30416	0	0	0	0	0.00846	0.02056	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01277	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	5.1687	5.84573	7.81451	0	6.0142	0	1.6549	0.02199	4.94952	0	0	0	0	7.14434	14.90992	0	0	0	0	0	24.47194	10.72704	1.06067	3.59342	0.38609	0	0	0	7.85364	0.02529	0.02536	0.25077	2.93127	0.03977	0.05649	0.07798	0.00204	5.80385	13.13874	0	0	8.20403	18.91306	0	17.0123	0	0	0.15258	2.20694	0.95665	12.68218	0	0.47734	0.05728	0	0.89307	1.21436	0	2.97032	0	2.81753	0	9.64969	7.86994	0.00872	5.94409	0	0	2.71876	0.43276	1.21811	5.36643	1.63408	11.26232	0	10.69939	0	1.14064	1.25573	0.18128	0	14.59801	5.55354	33.64003	0.01341	21.41173	0	0.09353	0.16455	0	0	0.60435	0.0942	5.10904	0	0	28.49856	0.00186	7.59548	0	0	1.52352	0	0.08687	0	0	0	1.41287	0	0	1.35679	0	0.19	0.00664	12.23826	28.39367	0.00474	0	0	0.59171	1.06575	9.50133	1.82019	2.09779	1.28769	6.94249	26.58769	1.65168	0	0	0	0.1877	0.10354	0.07814	6.3583	3.88571	7.53094	0.99888	0.8599	1.96658	0.67244	1.09982	0	0	0	10.72653	19.89232	15.45893	4.24288	0	0	16.05251	19.01585	0.00667	0	0	0	0	0.66502	0.02369	0.20395	3.15461	0.18533	0.06899	0	0	0	0	0	0	7.26096	0.07987	0.00541	0	31.33296	0	0	0	0	0	0	0	0	0.78519	14.65325	6.46851	10.45945	0.0041	0	0	0.82283	0.7458	0.19911	1.89397	1.02892	11.44459	0.01963	0.00704	0	0	0	1.01727	0.25774	0	3.3401	0.13194	0.14634	0	0.37766	0.22383	12.27148	3.56152	0.07403	0.05595	16.63037	1.93303	0.07191	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00223	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0.00182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177	0	0.01316	0	0	0	0	0	0.00323	0	0	0	0.01281	0	0.03519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174	0	0	0	0	0
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Eukaryota_noname	0	0	0	0	0	0	0	0	0	0	0.02136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0	0	0	0.47496	0.56287	0.0155	0.00972	0.00652	0	0	0	0.0154	0	0.10593	1.75537	0.1263	0	0.10531	0	0	0	0	0	0.0123	0	0	0	0	0	0	0.01896	0.56167	0	0	0	0.0061	0	0.00562	0.05827	0	0	0	0	0	0	0	0	0.00881	0.05994	0.07534	9.75323	0.00742	0	0.15658	0.04583	0	0.10813	0	4.20886	1.83544	0.35471	1.37419	0	0	1.23721	0	0	0	0	0	0	1.16414	0.49056	0.425	0.01331	0	0	0.88515	0.08499	0	0	0	0	0	0	0.00386	0	0	0.00339	0	0	0.00211	0.7401	0	0	1.2144	0.06646	0.05419	0.00867	0	0.31888	0.00893	10.53827	0	2.39173	0	0	0	0	0	0	0	0	0	1.49291	0	0	0.94767	0	0	0.58319	0	0	0	0.33972	0.03321	0	0	0	0	0	0.40255	0	0.01258	0	0	0	0.09894	0.41346	0	0.02784	0.11266	0	0	0.0069	0.01708	0	0	1.79945	0.25874	0	0.00692	0.09256	0.01056	0	0	0	0	0.00742	0.00796	0.37297	0.06499	0.02699	0	0	0	0	0	0	0	0	1.76703	0.37326	0.08787	9.07064	0	0	0.04471	0.05186	0	0.50846	0.104	5.28207	0	0	0.64744	5.53854	0.04732	0	0	1.23292	0.11486	0	0.00269	7.52687	0	0	0	0.00358	0	0	0	0.21592	0	0	0	0	0	3.44784	0.00332	0	0	0	0.42855	0	2.38771	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.00733	0	0	0	0	0	0	0	0	0	0.00539	0	0	0.00507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03354	0	0	0	0.0057	0.02589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0
