Feature	Inclusion	Comparator	Fixed SMD	Rand SMD	Fixed P	Rand P	I2	Tau	Chaput	Frankel	Gopalakrishnan	Matson	Routy NSCLC	Routy RCC
Metabolism.Glycan.Biosynthesis.and.Metabolism.Lipopolysaccharide.biosynthes-148	UseforMeta	Response	-0.1791	-0.1951	0.1381	0.2788	51.9%	0.0986	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Lipopolysaccharide.biosynthes-149	UseforMeta	Response	-0.1877	-0.2014	0.1195	0.2128	40.8%	0.0627	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.N.Glycan.biosynthesis-150	UseforMeta	Response	-0.0904	-0.1023	0.4523	0.5207	39.3%	0.0587	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Other.glycan.degradation-151	UseforMeta	Response	-0.2051	-0.2051	0.0871	0.0871	0.0%	0	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Peptidoglycan.biosynthesis-152	UseforMeta	Response	0.0645	0.0549	0.5916	0.6952	23.1%	0.0272	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Various.types.of.N.glycan.bio-153	UseforMeta	Response	0.0666	0.0581	0.5790	0.6600	14.8%	0.0156	30.7692307692308	58.974358974359	55.8139534883721	59.5238095238095	57.4712643678161	65.1515151515152
Metabolism.Lipid.Metabolism.Arachidonic.acid.metabolism-154	UseforMeta	Response	-0.0609	-0.0715	0.6127	0.6356	33.0%	0.0444	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Biosynthesis.of.unsaturated.fatty.acids-155	UseforMeta	Response	0.0891	0.0915	0.4586	0.5101	21.9%	0.0254	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Ether.lipid.metabolism-156	UseforMeta	Response	-0.1859	-0.1858	0.1220	0.1341	5.0%	0.0047	100	100	100	100	98.8505747126437	100
Metabolism.Lipid.Metabolism.Fatty.acid.biosynthesis-157	UseforMeta	Response	0.1260	0.1064	0.2986	0.6287	67.6%	0.1915	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Fatty.acid.elongation.in.mitochondria-158	UseforMeta	Response	0.0512	0.0493	0.6699	0.7035	11.8%	0.0120	0	64.1025641025641	53.4883720930233	90.4761904761905	45.9770114942529	62.1212121212121
Metabolism.Lipid.Metabolism.Fatty.acid.metabolism-159	UseforMeta	Response	0.1989	0.2344	0.0990	0.1321	36.3%	0.0519	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Glycerolipid.metabolism-160	UseforMeta	Response	0.1256	0.1234	0.2964	0.4116	32.4%	0.0433	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Glycerophospholipid.metabolism-161	UseforMeta	Response	0.1785	0.1785	0.1374	0.1374	0.0%	0	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Linoleic.acid.metabolism-162	UseforMeta	Response	-0.1562	-0.1562	0.1933	0.1933	0.0%	0	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Lipid.biosynthesis.proteins-163	UseforMeta	Response	0.0504	0.0504	0.6741	0.6741	0.0%	0	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Primary.bile.acid.biosynthesis-164	UseforMeta	Response	-0.0945	-0.0945	0.4307	0.4307	0.0%	0	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Secondary.bile.acid.biosynthesis-165	UseforMeta	Response	-0.0801	-0.0801	0.5039	0.5039	0.0%	0	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Sphingolipid.metabolism-166	UseforMeta	Response	-0.2311	-0.2311	0.0540	0.0540	0.0%	0	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Steroid.biosynthesis-167	UseforMeta	Response	0.0562	0.0544	0.6396	0.6719	10.5%	0.0106	3.84615384615385	79.4871794871795	60.4651162790698	100	49.4252873563218	65.1515151515152
Metabolism.Lipid.Metabolism.Steroid.hormone.biosynthesis-168	UseforMeta	Response	-0.2473	-0.2473	0.0398	0.0398	0.0%	0	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.Synthesis.and.degradation.of.ketone.bodies-169	UseforMeta	Response	0.1536	0.2300	0.2042	0.2490	60.3%	0.1395	100	100	100	100	100	100
Metabolism.Lipid.Metabolism.alpha.Linolenic.acid.metabolism-170	UseforMeta	Response	0.1110	0.1156	0.3556	0.3574	7.0%	0.0068	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Biotin.metabolism-171	UseforMeta	Response	-0.1068	-0.1068	0.3732	0.3732	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Folate.biosynthesis-172	UseforMeta	Response	-0.1026	-0.1592	0.3958	0.4283	61.2%	0.1442	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Lipoic.acid.metabolism-173	UseforMeta	Response	-0.1515	-0.1515	0.2063	0.2063	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Nicotinate.and.nicotinamide-174	UseforMeta	Response	-0.0066	-0.0467	0.9562	0.8083	57.9%	0.1256	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.One.carbon.pool.by.folate-175	UseforMeta	Response	-0.1408	-0.1805	0.2436	0.3312	54.7%	0.1103	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Pantothenate.and.CoA.biosyn-176	UseforMeta	Response	0.2416	0.2416	0.0442	0.0442	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Porphyrin.and.chlorophyll.m-177	UseforMeta	Response	0.0913	0.0920	0.4473	0.5054	21.2%	0.0243	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Retinol.metabolism-178	UseforMeta	Response	0.0685	0.0685	0.5676	0.5676	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Riboflavin.metabolism-179	UseforMeta	Response	-0.0810	-0.0830	0.5012	0.6061	40.6%	0.0618	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Thiamine.metabolism-180	UseforMeta	Response	0.0746	0.0551	0.5346	0.6898	21.1%	0.0240	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Ubiquinone.and.other.terpen-181	UseforMeta	Response	-0.1618	-0.1764	0.1802	0.3291	52.2%	0.0997	100	100	100	100	100	100
Metabolism.Metabolism.of.Cofactors.and.Vitamins.Vitamin.B6.metabolism-182	UseforMeta	Response	-0.1285	-0.1369	0.2850	0.3223	21.3%	0.0245	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.Cyanoamino.acid.metabolism-183	UseforMeta	Response	-0.2920	-0.2920	0.0153	0.0153	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.D.Alanine.metabolism-184	UseforMeta	Response	0.1081	0.1081	0.3661	0.3661	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.D.Arginine.and.D.ornithine.metab-185	UseforMeta	Response	-0.0913	-0.0913	0.4462	0.4462	0.0%	0	100	100	100	100	98.8505747126437	100
Metabolism.Metabolism.of.Other.Amino.Acids.D.Glutamine.and.D.glutamate.meta-186	UseforMeta	Response	-0.0372	-0.0372	0.7562	0.7562	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.Glutathione.metabolism-187	UseforMeta	Response	-0.0829	-0.0783	0.4902	0.5556	15.5%	0.0166	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.Phosphonate.and.phosphinate.meta-188	UseforMeta	Response	-0.0692	-0.0692	0.5641	0.5641	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.Selenocompound.metabolism-189	UseforMeta	Response	-0.0445	-0.0445	0.7104	0.7104	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.Taurine.and.hypotaurine.metaboli-190	UseforMeta	Response	-0.2462	-0.2462	0.0408	0.0408	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Other.Amino.Acids.beta.Alanine.metabolism-191	UseforMeta	Response	-0.0871	-0.1129	0.4712	0.5741	61.2%	0.1442	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Biosynthesis.of.ansamyc-192	UseforMeta	Response	-0.0538	-0.0453	0.6549	0.7788	40.7%	0.0621	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Biosynthesis.of.siderop-193	UseforMeta	Response	-0.1259	-0.1250	0.2946	0.3228	8.0%	0.0079	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Biosynthesis.of.type.II-194	UseforMeta	Response	0.0686	0.0686	0.5664	0.5664	0.0%	0	30.7692307692308	15.3846153846154	2.32558139534884	14.2857142857143	9.19540229885057	16.6666666666667
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Biosynthesis.of.vancomy-195	UseforMeta	Response	-0.2382	-0.2382	0.0477	0.0477	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Carotenoid.biosynthesis-196	UseforMeta	Response	0.2243	0.2246	0.0624	0.0695	4.4%	0.0042	100	100	100	100	98.8505747126437	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Geraniol.degradation-197	UseforMeta	Response	-0.1014	-0.0928	0.3996	0.5604	39.5%	0.0591	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Limonene.and.pinene.deg-198	UseforMeta	Response	0.0758	0.0758	0.5269	0.5269	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Polyketide.sugar.unit.b-199	UseforMeta	Response	-0.2220	-0.2220	0.0649	0.0649	0.0%	0	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Prenyltransferases-200	UseforMeta	Response	-0.1116	-0.1300	0.3536	0.4107	38.4%	0.0565	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Terpenoid.backbone.bios-201	UseforMeta	Response	-0.0474	-0.0636	0.6934	0.6648	29.5%	0.0377	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Tetracycline.biosynthes-202	UseforMeta	Response	0.1969	0.1998	0.1043	0.3494	65.5%	0.1745	100	100	100	100	100	100
Metabolism.Metabolism.of.Terpenoids.and.Polyketides.Zeatin.biosynthesis-203	UseforMeta	Response	-0.1713	-0.1989	0.1555	0.2362	44.9%	0.0742	100	100	100	100	100	100
Metabolism.Nucleotide.Metabolism.Purine.metabolism-204	UseforMeta	Response	-0.0849	-0.1042	0.4803	0.4983	35.3%	0.0494	100	100	100	100	100	100
Metabolism.Nucleotide.Metabolism.Pyrimidine.metabolism-205	UseforMeta	Response	-0.0709	-0.0802	0.5562	0.6312	44.6%	0.0731	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.111.Trichloro.22.bis4.-206	UseforMeta	Response	-0.2250	-0.2360	0.0619	0.0811	17.7%	0.0195	96.1538461538462	82.0512820512821	86.046511627907	78.5714285714286	90.8045977011494	93.9393939393939
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Aminobenzoate.degradat-207	UseforMeta	Response	-0.0797	-0.0797	0.5058	0.5058	0.0%	0	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Atrazine.degradation-208	UseforMeta	Response	0.1025	0.1293	0.3945	0.3926	32.9%	0.0446	100	100	100	100	98.8505747126437	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Benzoate.degradation-209	UseforMeta	Response	0.1954	0.2132	0.1049	0.1514	30.6%	0.0401	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Bisphenol.degradation-210	UseforMeta	Response	-0.1785	-0.1785	0.1369	0.1369	0.0%	0	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Caprolactam.degradatio-211	UseforMeta	Response	0.0248	0.0315	0.8366	0.8361	34.0%	0.0467	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Chloroalkane.and.chlor-212	UseforMeta	Response	0.1318	0.1459	0.2747	0.4173	51.9%	0.0982	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Chlorocyclohexane.and.-213	UseforMeta	Response	0.1085	0.1085	0.3659	0.3659	0.0%	0	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Dioxin.degradation-214	UseforMeta	Response	0.1983	0.1977	0.0994	0.1386	16.1%	0.0173	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Drug.metabolism.cyto-215	UseforMeta	Response	0.1514	0.1666	0.2092	0.3165	43.9%	0.0713	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Drug.metabolism.othe-216	UseforMeta	Response	-0.2491	-0.2379	0.0398	0.2154	57.3%	0.1234	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Ethylbenzene.degradati-217	UseforMeta	Response	0.0001	0.0001	0.9996	0.9996	0.0%	0	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Fluorobenzoate.degrada-218	UseforMeta	Response	0.0314	0.0325	0.7936	0.8051	14.1%	0.0148	76.9230769230769	94.8717948717949	93.0232558139535	100	91.9540229885057	93.9393939393939
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Metabolism.of.xenobiot-219	UseforMeta	Response	0.1567	0.1793	0.1940	0.2987	47.7%	0.0831	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Naphthalene.degradatio-220	UseforMeta	Response	0.0377	0.0377	0.7529	0.7529	0.0%	0	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Nitrotoluene.degradati-221	UseforMeta	Response	0.1654	0.1654	0.1675	0.1675	0.0%	0	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Polycyclic.aromatic.hy-222	UseforMeta	Response	-0.0393	-0.0699	0.7440	0.6470	34.4%	0.0475	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Styrene.degradation-223	UseforMeta	Response	-0.0086	-0.0073	0.9427	0.9527	4.5%	0.0043	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Toluene.degradation-224	UseforMeta	Response	-0.2148	-0.2136	0.0745	0.1038	13.6%	0.0142	100	100	100	100	100	100
Metabolism.Xenobiotics.Biodegradation.and.Metabolism.Xylene.degradation-225	UseforMeta	Response	0.2006	0.1994	0.0957	0.1583	24.1%	0.0288	100	100	100	100	100	100
Organismal.Systems.Circulatory.System.Cardiac.muscle.contraction-226	UseforMeta	Response	0.0463	0.0910	0.7007	0.5659	38.6%	0.0570	30.7692307692308	74.3589743589744	41.8604651162791	76.1904761904762	55.1724137931034	78.7878787878788
Organismal.Systems.Digestive.System.Bile.secretion-227	UseforMeta	Response	0.0348	0.0348	0.7713	0.7713	0.0%	0	23.0769230769231	64.1025641025641	18.6046511627907	42.8571428571429	25.2873563218391	33.3333333333333
Organismal.Systems.Digestive.System.Carbohydrate.digestion.and.absorption-228	UseforMeta	Response	-0.0435	-0.0435	0.7169	0.7169	0.0%	0	100	100	100	100	100	100
Organismal.Systems.Digestive.System.Mineral.absorption-229	UseforMeta	Response	-0.0461	-0.0496	0.7010	0.7040	12.9%	0.0133	100	100	100	100	98.8505747126437	100
Organismal.Systems.Digestive.System.Protein.digestion.and.absorption-230	UseforMeta	Response	-0.1954	-0.1962	0.1041	0.1060	1.5%	0.0014	100	100	100	100	100	100
Organismal.Systems.Endocrine.System.Adipocytokine.signaling.pathway-231	UseforMeta	Response	-0.1596	-0.1596	0.1830	0.1830	0.0%	0	100	100	100	100	100	100
Organismal.Systems.Endocrine.System.GnRH.signaling.pathway-232	UseforMeta	Response	-0.0039	-0.0039	0.9740	0.9740	0.0%	0	3.84615384615385	5.12820512820513	2.32558139534884	4.76190476190476	3.44827586206897	4.54545454545455
Organismal.Systems.Endocrine.System.Insulin.signaling.pathway-233	UseforMeta	Response	0.1608	0.1510	0.1817	0.3229	34.3%	0.0473	100	100	100	100	100	100
Organismal.Systems.Endocrine.System.PPAR.signaling.pathway-234	UseforMeta	Response	-0.1226	-0.1226	0.3056	0.3056	0.0%	0	100	100	100	100	100	100
Organismal.Systems.Endocrine.System.Progesterone.mediated.oocyte.maturation-235	UseforMeta	Response	0.0022	0.0022	0.9852	0.9852	0.0%	0	100	100	100	100	100	100
Organismal.Systems.Endocrine.System.Renin.angiotensin.system-236	UseforMeta	Response	0.0572	0.0572	0.6329	0.6329	0.0%	0	7.69230769230769	35.8974358974359	9.30232558139535	16.6666666666667	6.89655172413793	16.6666666666667
Organismal.Systems.Environmental.Adaptation.Circadian.rhythm.plant-237	UseforMeta	Response	0.0650	0.0640	0.5883	0.6182	10.4%	0.0104	3.84615384615385	71.7948717948718	53.4883720930233	97.6190476190476	42.5287356321839	59.0909090909091
Organismal.Systems.Environmental.Adaptation.Plant.pathogen.interaction-238	UseforMeta	Response	0.2059	0.2048	0.0872	0.1256	16.2%	0.0175	100	100	100	100	100	100
Organismal.Systems.Excretory.System.Proximal.tubule.bicarbonate.reclamation-239	UseforMeta	Response	0.0604	0.0628	0.6148	0.6159	6.8%	0.0065	100	100	100	100	100	100
Organismal.Systems.Immune.System.Antigen.processing.and.presentation-240	UseforMeta	Response	0.0022	0.0022	0.9852	0.9852	0.0%	0	100	100	100	100	100	100
Organismal.Systems.Immune.System.Fc.gamma.R.mediated.phagocytosis-241	UseforMeta	Response	-0.0039	-0.0039	0.9740	0.9740	0.0%	0	3.84615384615385	5.12820512820513	2.32558139534884	4.76190476190476	3.44827586206897	4.54545454545455
Organismal.Systems.Immune.System.NOD.like.receptor.signaling.pathway-242	UseforMeta	Response	-0.1240	-0.1240	0.3003	0.3003	0.0%	0	100	100	100	100	100	100
Organismal.Systems.Immune.System.RIG.I.like.receptor.signaling.pathway-243	UseforMeta	Response	-0.0047	-0.0047	0.9690	0.9690	0.0%	0	100	100	100	100	100	100
Organismal.Systems.Nervous.System.Glutamatergic.synapse-244	UseforMeta	Response	-0.0315	-0.0282	0.7931	0.8302	14.2%	0.0149	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Cell.division-245	UseforMeta	Response	-0.1303	-0.1448	0.2796	0.3925	45.9%	0.0772	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Cell.motility.and.secretion-246	UseforMeta	Response	-0.1358	-0.1345	0.2591	0.3391	23.6%	0.0279	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Electron.transfer.carriers-247	UseforMeta	Response	-0.0059	-0.0037	0.9609	0.9762	6.2%	0.0060	100	100	100	100	98.8505747126437	100
Unclassified.Cellular.Processes.and.Signaling.Germination-248	UseforMeta	Response	0.2494	0.2494	0.0382	0.0382	0.0%	0	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Inorganic.ion.transport.and.m-249	UseforMeta	Response	-0.1728	-0.1649	0.1520	0.3102	41.4%	0.0643	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Membrane.and.intracellular.st-250	UseforMeta	Response	-0.2170	-0.2183	0.0713	0.0773	4.2%	0.0039	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Other.ion.coupled.transporter-251	UseforMeta	Response	-0.2582	-0.2582	0.0317	0.0317	0.0%	0	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Other.transporters-252	UseforMeta	Response	-0.1329	-0.1329	0.2677	0.2677	0.0%	0	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Pores.ion.channels-253	UseforMeta	Response	-0.2113	-0.2113	0.0787	0.0787	0.0%	0	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Signal.transduction.mechanism-254	UseforMeta	Response	0.2678	0.2678	0.0260	0.0260	0.0%	0	100	100	100	100	100	100
Unclassified.Cellular.Processes.and.Signaling.Sporulation-255	UseforMeta	Response	0.2086	0.2080	0.0835	0.1508	27.3%	0.0340	100	100	100	100	100	100
Unclassified.Genetic.Information.Processing.Protein.folding.and.associated.-256	UseforMeta	Response	-0.1160	-0.1128	0.3357	0.4801	39.5%	0.0593	100	100	100	100	100	100
Unclassified.Genetic.Information.Processing.Replication.recombination.and.r-257	UseforMeta	Response	0.2783	0.2950	0.0212	0.0350	22.1%	0.0260	100	100	100	100	100	100
Unclassified.Genetic.Information.Processing.Restriction.enzyme-258	UseforMeta	Response	-0.0674	-0.0674	0.5736	0.5736	0.0%	0	100	100	100	100	100	100
Unclassified.Genetic.Information.Processing.Transcription.related.proteins-259	UseforMeta	Response	0.0460	0.0456	0.7021	0.7661	34.8%	0.0483	100	100	100	100	100	100
Unclassified.Genetic.Information.Processing.Translation.proteins-260	UseforMeta	Response	0.1576	0.1576	0.1883	0.1883	0.0%	0	100	100	100	100	100	100
Unclassified.Metabolism.Amino.acid.metabolism-261	UseforMeta	Response	-0.0456	-0.0279	0.7042	0.8392	20.4%	0.0231	100	100	100	100	100	100
Unclassified.Metabolism.Biosynthesis.and.biodegradation.of.secondary.metabo-262	UseforMeta	Response	0.0253	0.0719	0.8340	0.6836	50.2%	0.0913	100	100	100	100	100	100
Unclassified.Metabolism.Carbohydrate.metabolism-263	UseforMeta	Response	-0.1060	-0.1080	0.3777	0.3920	7.8%	0.0076	100	100	100	100	100	100
Unclassified.Metabolism.Energy.metabolism-264	UseforMeta	Response	-0.0506	-0.0526	0.6738	0.7049	21.9%	0.0253	100	100	100	100	100	100
Unclassified.Metabolism.Glycan.biosynthesis.and.metabolism-265	UseforMeta	Response	-0.0361	-0.0264	0.7644	0.8722	42.7%	0.0674	100	100	100	100	100	100
Unclassified.Metabolism.Lipid.metabolism-266	UseforMeta	Response	0.2450	0.2450	0.0417	0.0417	0.0%	0	100	100	100	100	100	100
Unclassified.Metabolism.Metabolism.of.cofactors.and.vitamins-267	UseforMeta	Response	-0.0204	-0.0159	0.8651	0.9101	23.4%	0.0276	100	100	100	100	100	100
Unclassified.Metabolism.Nucleotide.metabolism-268	UseforMeta	Response	0.0679	0.0837	0.5723	0.5675	29.0%	0.0369	100	100	100	100	100	100
Unclassified.Metabolism.Others-269	UseforMeta	Response	-0.0838	-0.0909	0.4862	0.5435	31.8%	0.0421	100	100	100	100	100	100
Unclassified.Poorly.Characterized.Function.unknown-270	UseforMeta	Response	-0.0119	-0.0053	0.9216	0.9748	45.5%	0.0758	100	100	100	100	100	100
Unclassified.Poorly.Characterized.General.function.prediction.only-271	UseforMeta	Response	-0.1782	-0.1793	0.1390	0.2337	32.3%	0.0433	100	100	100	100	100	100
